noticeId,tenderRef,title,country,buyer,productMolecule,moleculeDetected,moleculeVariant,detectionMethod,atcCode,itemNumber,productName,strength,packSize,supplier,maxPrice,packsSoldLast12m,estimatedValue,awardedValue,awardedSupplier,currency,noticeType,status,publicationDate,contractStart,procedureType,sourceDocument,sourceUrl
2024-105958,,2507gj-1 anagrelid,NO,SYKEHUSINNKJØP HF,Anagrelide,true,anagrelid,name-norwegian,L01XX35,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2024-04-24,,,2507gj-1 anagrelid,https://doffin.no/notices/2024-105958
244859-2024,2024/206,2507gj-1 anagrelid,NO,SYKEHUSINNKJØP HF,Anagrelide,true,anagrelid,name-norwegian,L01XX35,,,,,,,,10000000.0,,,NOK,cn-standard,competition,2024-04-24,2025-04-01,open,2507gj-1 anagrelid,https://ted.europa.eu/en/notice/244859-2024
2017-167634,2017/784,LIS 1807j injeksjons og infusjons onkologi preparater,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2017-07-07,2018-02-01,Open,LIS 1807j injeksjons og infusjons onkologi preparater,https://doffin.no/notices/2017-167634
2018-231652,2018/229,LIS 1907 a-b Onkologi diverse kjemoterapeutika. Veiledende kunngjøring - Markedsdialog,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2018-03-13,,,LIS 1907 a-b Onkologi diverse kjemoterapeutika. Veiledende kunngjøring - Markedsdialog,https://doffin.no/notices/2018-231652
2018-972722,2018/478,LIS 1907 Onkologi. Veiledende kunngjøring. Markedsdialog-Dialogmøte,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2018-04-05,,,LIS 1907 Onkologi. Veiledende kunngjøring. Markedsdialog-Dialogmøte,https://doffin.no/notices/2018-972722
2018-314173,2018/478,LIS 1907 Onkologi. Veiledende kunngjøring - Presentasjon av konkurransegrunnlag før utlysning,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2018-08-14,,,LIS 1907 Onkologi. Veiledende kunngjøring - Presentasjon av konkurransegrunnlag før utlysning,https://doffin.no/notices/2018-314173
2018-322607,2018/478,LIS 1907 Onkologi Veiledende kunngjøring - Konkurransegrunnlag på høring,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2018-08-15,,,LIS 1907 Onkologi Veiledende kunngjøring - Konkurransegrunnlag på høring,https://doffin.no/notices/2018-322607
2018-334899,2018/478,LIS 1907 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2018-09-03,2019-04-01,Open,LIS 1907 Onkologi,https://doffin.no/notices/2018-334899
2019-346804,2019/163,LIS 2007 Onkologi. Veiledende kunngjøring,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2019-03-19,,,LIS 2007 Onkologi. Veiledende kunngjøring,https://doffin.no/notices/2019-346804
2019-340329,2019/163,LIS 2007 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,2200000.0,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2019-09-10,2020-04-01,Open,LIS 2007 Onkologi,https://doffin.no/notices/2019-340329
2020-380834,2020/1534,LIS 2107 Onkologi. Veiledende kunngjøring,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2020-10-15,,,LIS 2107 Onkologi. Veiledende kunngjøring,https://doffin.no/notices/2020-380834
2020-358404,2020/1970,LIS 2107b Onkologi 2-årlig. Veiledende kunngjøring,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2020-12-15,,,LIS 2107b Onkologi 2-årlig. Veiledende kunngjøring,https://doffin.no/notices/2020-358404
2021-344617,2020/1534,LIS 2107 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,1303000000.0,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2021-02-24,2021-10-01,Open,LIS 2107 Onkologi,https://doffin.no/notices/2021-344617
2021-341000,2020/1970,LIS 2107b Onkologi 2-årig,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,940000000.0,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2021-02-25,2021-10-01,Open,LIS 2107b Onkologi 2-årig,https://doffin.no/notices/2021-341000
2021-346581,2021/1727,LIS 2207 Onkologi. Veiledende kunngjøring,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2021-10-19,,,LIS 2207 Onkologi. Veiledende kunngjøring,https://doffin.no/notices/2021-346581
2022-324116,2021/1727,LIS 2207 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,3200000000.0,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2022-04-08,2022-12-01,Open,LIS 2207 Onkologi,https://doffin.no/notices/2022-324116
2022-304528,2022/230,"2207j Ikke patenterte onkologiske legemidler, injeksjon infusjon, uregistrerte",NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2022-04-12,2022-10-01,Open,"2207j Ikke patenterte onkologiske legemidler, injeksjon infusjon, uregistrerte",https://doffin.no/notices/2022-304528
2022-949206,2022/1544,Veiledende kunngjøring 2307 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2022-10-29,,,Veiledende kunngjøring 2307 Onkologi,https://doffin.no/notices/2022-949206
2023-655130,2022/1544,2307 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,2721000000.0,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2023-02-27,2023-10-01,Open,2307 Onkologi,https://doffin.no/notices/2023-655130
2023-645084,2022/235,2407 g og j onkologi ikke patenterte legemidler,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2023-05-24,,,2407 g og j onkologi ikke patenterte legemidler,https://doffin.no/notices/2023-645084
2023-624320,2023/1409,Veiledende kunngjøring: 2407 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2023-10-14,,,Veiledende kunngjøring: 2407 Onkologi,https://doffin.no/notices/2023-624320
2024-102739,,2407 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2024-02-26,,,2407 Onkologi,https://doffin.no/notices/2024-102739
2024-107067,,Tilleggsavtale til 2407 Onkologi - Brukinsa (zanubrutinib),NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_INTENT,award,2024-05-14,,,Tilleggsavtale til 2407 Onkologi - Brukinsa (zanubrutinib),https://doffin.no/notices/2024-107067
2024-112363,,Veiledende kunngjøring: 2507 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2024-08-30,,,Veiledende kunngjøring: 2507 Onkologi,https://doffin.no/notices/2024-112363
2025-101931,,2507 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ANNOUNCEMENT_OF_COMPETITION,competition,2025-02-11,,,2507 Onkologi,https://doffin.no/notices/2025-101931
2025-102046,,Veiledende kunngjøring: 2707gj Onkologi ikke patentert,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2025-02-13,,,Veiledende kunngjøring: 2707gj Onkologi ikke patentert,https://doffin.no/notices/2025-102046
2025-112520,,Veiledende kunngjøring: 2607 Onkologi,NO,SYKEHUSINNKJØP HF,Axitinib,false,Onkologi,therapeutic-area-bundle,L01EK01,,,,,,,,,,,NOK,ADVISORY_NOTICE,prior-information,2025-09-02,,,Veiledende kunngjøring: 2607 Onkologi,https://doffin.no/notices/2025-112520
